pestname;value;week;SectionId;Section
Sciara;17;14;14;Afdeling 6
Sciara;13;22;14;Afdeling 6
Sciara;31;19;14;Afdeling 6
Sciara;13;22;14;Afdeling 6
Sciara;100;14;14;Afdeling 6
Sciara;100;52;13;Afdeling 5
Sciara;15;43;13;Afdeling 5
Sciara;100;51;13;Afdeling 5
Sciara;15;43;13;Afdeling 5
Sciara;13;42;13;Afdeling 5
Sciara;18;24;13;Afdeling 5
Sciara;100;51;13;Afdeling 5
Sciara;17;11;13;Afdeling 5
Sciara;12;18;13;Afdeling 5
Sciara;14;15;13;Afdeling 5
Sciara;30;44;13;Afdeling 5
Sciara;35;44;13;Afdeling 5
Sciara;45;44;13;Afdeling 5
Sciara;18;25;13;Afdeling 5
Sciara;12;25;13;Afdeling 5
Sciara;15;24;13;Afdeling 5
Sciara;36;23;13;Afdeling 5
Sciara;16;23;13;Afdeling 5
Sciara;43;22;13;Afdeling 5
Sciara;25;22;13;Afdeling 5
Sciara;17;19;13;Afdeling 5
Sciara;19;19;13;Afdeling 5
Sciara;12;19;13;Afdeling 5
Sciara;22;17;13;Afdeling 5
Sciara;13;17;13;Afdeling 5
Sciara;26;16;13;Afdeling 5
Sciara;16;16;13;Afdeling 5
Sciara;29;15;13;Afdeling 5
Sciara;19;14;13;Afdeling 5
Sciara;54;14;13;Afdeling 5
Sciara;7;13;13;Afdeling 5
Sciara;16;13;13;Afdeling 5
Sciara;10;11;13;Afdeling 5
Sciara;9;27;13;Afdeling 5
Sciara;11;18;13;Afdeling 5
Sciara;11;17;13;Afdeling 5
Sciara;10;16;13;Afdeling 5
Sciara;10;15;13;Afdeling 5
Sciara;9;15;13;Afdeling 5
Sciara;23;14;13;Afdeling 5
Sciara;31;14;13;Afdeling 5
Sciara;14;24;13;Afdeling 5
Sciara;18;23;13;Afdeling 5
Sciara;10;43;13;Afdeling 5
Sciara;16;22;13;Afdeling 5
Sciara;11;26;13;Afdeling 5
Sciara;21;25;13;Afdeling 5
Sciara;16;24;13;Afdeling 5
Sciara;10;23;13;Afdeling 5
Sciara;17;22;13;Afdeling 5
Sciara;21;25;13;Afdeling 5
Sciara;10;16;13;Afdeling 5
Sciara;13;19;13;Afdeling 5
Sciara;10;27;12;Afdeling 4
Sciara;7;27;12;Afdeling 4
Sciara;15;27;12;Afdeling 4
Sciara;14;26;12;Afdeling 4
Sciara;9;24;12;Afdeling 4
Sciara;10;24;12;Afdeling 4
Sciara;10;23;12;Afdeling 4
Sciara;9;15;12;Afdeling 4
Sciara;11;14;12;Afdeling 4
Sciara;14;11;12;Afdeling 4
Sciara;12;42;12;Afdeling 4
Sciara;7;26;12;Afdeling 4
Sciara;9;25;12;Afdeling 4
Sciara;14;22;12;Afdeling 4
Sciara;10;22;12;Afdeling 4
Sciara;16;19;12;Afdeling 4
Sciara;19;19;12;Afdeling 4
Sciara;19;14;12;Afdeling 4
Sciara;16;19;12;Afdeling 4
Sciara;10;25;12;Afdeling 4
Sciara;16;22;12;Afdeling 4
Sciara;9;15;12;Afdeling 4
Sciara;12;27;12;Afdeling 4
Sciara;12;26;12;Afdeling 4
Sciara;13;23;12;Afdeling 4
Sciara;15;43;11;Afdeling 3
Sciara;10;18;11;Afdeling 3
Sciara;15;43;11;Afdeling 3
Sciara;10;43;11;Afdeling 3
Sciara;17;29;11;Afdeling 3
Sciara;11;29;11;Afdeling 3
Sciara;23;29;11;Afdeling 3
Sciara;12;23;11;Afdeling 3
Sciara;32;16;11;Afdeling 3
Sciara;14;22;11;Afdeling 3
Sciara;10;22;11;Afdeling 3
Sciara;7;34;11;Afdeling 3
Sciara;7;34;11;Afdeling 3
Sciara;14;29;11;Afdeling 3
Sciara;7;26;11;Afdeling 3
Sciara;14;22;11;Afdeling 3
Sciara;14;19;11;Afdeling 3
Sciara;10;19;11;Afdeling 3
Sciara;11;22;11;Afdeling 3
Sciara;15;33;10;Afdeling 2
Sciara;9;33;10;Afdeling 2
Sciara;10;26;10;Afdeling 2
Sciara;10;23;10;Afdeling 2
